# Viktor: 16000 nucleotides with different fractions and corresponding number of repeats from Victor's pipeline
23_pseudo_96_2.sqlite;3136 4288 4288 4288  0.196 0.268 0.268 0.268  16000;10;1821;11;500;12;129;13;58;14;26;15;15;16;2;17;0;18;0;19;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24_pseudo_96_3.sqlite;3136 4288 4288 4288  0.196 0.268 0.268 0.268  16000;10;1814;11;482;12;126;13;56;14;29;15;10;16;4;17;4;18;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25_pseudo_96_4.sqlite;3136 4288 4288 4288  0.196 0.268 0.268 0.268  16000;10;1804;11;492;12;113;13;50;14;21;15;13;16;4;17;2;18;3;19;0;20;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26_pseudo_96_5.sqlite;3136 4288 4288 4288  0.196 0.268 0.268 0.268  16000;10;1730;11;488;12;121;13;50;14;18;15;13;16;6;17;0;18;3;19;0;20;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27_pseudo_96_6.sqlite;3136 4288 4288 4288  0.196 0.268 0.268 0.268  16000;10;1801;11;499;12;126;13;56;14;35;15;16;16;5;17;3;18;2;19;0;20;0;21;0;22;0;23;1;24;0;25;0;26;0;27;1;;;;;;;;;;;;;;;;
28_pseudo_96_7.sqlite;3136 4288 4288 4288  0.196 0.268 0.268 0.268  16000;10;1747;11;468;12;126;13;57;14;19;15;12;16;4;17;1;18;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29_pseudo_96_8.sqlite;3136 4288 4288 4288  0.196 0.268 0.268 0.268  16000;10;1726;11;473;12;151;13;41;14;23;15;11;16;7;17;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30_pseudo_96_9.sqlite;3136 4288 4288 4288  0.196 0.268 0.268 0.268  16000;10;1797;11;498;12;144;13;63;14;34;15;16;16;2;17;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31_pseudo_144_0.sqlite;3904 4032 4032 4032  0.244 0.252 0.252 0.252  16000;10;1621;11;451;12;117;13;39;14;21;15;12;16;2;17;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32_pseudo_144_1.sqlite;3904 4032 4032 4032  0.244 0.252 0.252 0.252  16000;10;1543;11;419;12;111;13;47;14;28;15;10;16;3;17;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
