CopyNumber,PercentMatches,FullLength,ConsensusLength,fr_A_cons,fr_T_cons,fr_G_cons,fr_C_cons,fr_A_repeat,fr_T_repeat,fr_G_repeat,fr_C_repeat,RepeatsNumber
2.4,98,169,72,22,27,11,12,53,64,24,29,4
19.9,99,2540,128,38,55,9,26,747,1094,180,520,2
18.3,94,109,6,2,3,0,1,39,48,0,23,2
4.6,66,129,29,12,12,2,3,52,58,11,9,3
17.3,100,103,6,2,2,0,2,36,34,0,34,3
2,100,164,84,32,38,7,7,63,74,14,14,3
7.9,99,1026,130,37,56,12,25,290,444,97,196,1
7,98,883,127,33,57,13,24,231,396,89,168,3
2,93,30,16,10,3,0,3,20,5,0,6,3
5,98,629,127,33,57,13,24,165,283,63,119,3
2.3,81,314,138,33,62,32,11,60,144,84,27,1
3.7,100,208,56,22,22,2,10,82,83,7,37,1
2,94,35,18,5,8,2,3,10,17,4,5,1
4.7,96,71,15,7,6,1,1,33,28,4,7,1
2.1,100,24,12,5,3,0,4,11,6,0,8,1
1.9,100,24,13,5,6,1,1,10,12,2,1,1
1.9,100,24,13,5,6,1,1,10,12,2,1,1
1.9,100,24,13,6,6,0,1,12,12,0,1,1
1.9,100,24,13,6,6,0,1,12,12,0,1,1
2.9,100,28,10,1,9,0,0,3,26,0,0,1
10.5,80,41,4,3,0,0,1,32,0,1,9,2
16,100,352,22,14,2,1,5,225,32,16,80,2
2.5,89,508,203,68,46,25,64,155,124,77,153,1
25.4,96,283,11,7,0,1,3,177,5,26,76,2
2.6,100,25,10,1,1,0,8,2,2,0,22,2
4.2,98,161,39,15,17,3,4,62,73,12,15,2
7.4,63,97,14,6,7,0,1,38,45,6,9,2
8.4,99,320,38,14,17,4,3,118,145,34,24,1
4.8,77,47,10,2,7,0,1,9,35,1,3,3
2.4,85,47,20,3,15,0,2,9,35,1,3,3
3.8,72,54,16,6,9,0,1,25,27,0,3,3
2,96,56,29,13,14,0,2,27,27,0,3,1
3.7,69,68,18,7,7,2,2,27,28,7,7,2
1.9,88,34,18,7,7,0,4,12,15,0,8,2
5.9,100,58,10,5,5,0,0,29,30,0,0,1
38.1,100,837,22,11,5,2,4,420,190,76,152,1
7.4,99,473,64,26,27,7,4,194,201,50,29,2
16.2,98,96,6,2,1,1,2,33,15,16,33,2
4.4,87,40,9,4,5,0,0,18,22,0,1,5
2.4,88,191,80,32,27,2,19,72,68,8,44,5
3.1,83,42,15,6,8,0,1,18,23,0,2,5
