CopyNumber,PercentMatches,FullLength,ConsensusLength,fr_A_cons,fr_T_cons,fr_G_cons,fr_C_cons,fr_A_repeat,fr_T_repeat,fr_G_repeat,fr_C_repeat,RepeatsNumber
6.5,92,141,21,4,9,2,6,27,60,14,41,16
6.5,92,141,21,4,9,2,6,27,60,14,41,16
5.5,99,649,119,46,37,18,18,249,207,98,96,2
2.5,80,41,17,8,6,1,2,19,16,1,6,2
1.9,84,38,20,1,8,0,11,2,15,1,21,1
1.9,84,39,21,4,7,4,6,7,15,7,11,1
2.2,86,94,42,17,15,5,5,37,39,9,10,1
2.1,95,346,164,63,57,14,30,131,120,29,67,2
4.2,94,346,82,30,30,7,15,131,120,29,67,2
2.2,100,177,82,28,29,9,16,61,64,19,34,1
3.2,64,123,39,15,14,3,7,48,44,9,23,3
2.6,100,205,78,29,28,6,15,74,75,15,42,3
3.2,64,123,39,14,14,3,8,47,44,9,24,3
4.5,100,360,80,27,28,9,16,122,126,39,74,1
5.2,64,210,39,13,14,3,9,73,76,21,41,2
3.6,99,294,82,28,30,9,15,99,111,30,55,2
3.6,98,294,82,29,30,8,15,102,111,27,55,2
5.2,65,210,39,13,15,3,8,75,77,19,40,2
3.2,100,259,82,28,30,9,15,89,96,28,47,2
3.2,67,131,43,16,16,5,6,48,48,14,22,2
3.5,100,285,82,31,28,7,16,106,98,24,58,3
3.1,60,134,47,17,15,4,11,52,44,11,28,3
5.2,65,213,43,17,16,4,6,83,74,18,39,3
5.2,62,210,39,14,10,3,12,78,64,19,50,4
5.2,62,214,43,16,16,5,6,80,70,21,44,4
5.1,61,207,39,16,11,5,7,77,65,22,44,4
3.4,100,279,82,30,26,8,18,100,91,27,62,4
12.5,100,24,2,1,1,0,0,12,13,0,0,1
14.5,100,28,2,1,1,0,0,14,15,0,0,1
14.5,100,28,2,1,1,0,0,14,15,0,0,1
13.5,100,26,2,1,1,0,0,13,14,0,0,1
2,100,539,271,112,82,28,49,223,163,56,98,2
13.5,100,26,2,1,1,0,0,13,14,0,0,2
12.5,100,24,2,1,1,0,0,12,13,0,0,1
13,100,25,2,1,1,0,0,13,13,0,0,1
13.5,100,26,2,1,1,0,0,13,14,0,0,1
14,100,27,2,1,1,0,0,14,14,0,0,1
13.5,100,26,2,1,1,0,0,13,14,0,0,1
14,100,27,2,1,1,0,0,14,14,0,0,1
2.8,90,30,11,3,8,0,0,8,23,0,0,1
1.9,90,41,22,9,9,1,3,16,19,2,5,4
18.1,86,172,10,7,0,0,3,119,0,0,54,4
12.6,93,162,13,9,0,0,4,113,0,0,50,4
53,86,170,3,2,0,0,1,118,0,0,53,4
2,88,34,17,14,1,0,2,27,2,0,6,2
2.9,75,45,17,13,0,0,4,35,1,0,10,2
8.9,98,666,75,24,29,12,10,215,255,110,87,3
3.2,99,695,215,72,55,19,69,233,176,65,222,3
9,99,423,47,15,17,4,11,140,157,28,99,3
33,93,329,10,2,2,3,3,66,79,99,86,1
24.1,95,192,8,3,2,1,2,73,41,24,55,1
9.1,100,72,8,3,2,1,2,28,18,9,18,1
2,85,37,19,9,7,1,2,16,16,2,4,1
3.2,63,115,35,15,12,4,4,48,39,11,18,5
3.4,69,130,40,18,13,4,5,55,44,12,20,5
2.3,88,58,26,10,10,4,2,22,21,8,8,5
2.1,100,156,75,30,25,7,13,63,52,15,27,5
3.5,68,125,35,12,12,3,8,48,44,12,22,5
24,100,47,2,1,1,0,0,24,24,0,0,1
1.9,100,24,13,6,6,0,1,12,12,0,1,1
2,100,33,17,6,1,1,9,12,2,2,18,1
2,94,342,176,46,46,37,47,85,91,78,89,1
2.3,100,26,12,5,0,0,7,12,0,0,15,1
18.2,96,384,21,7,9,3,2,136,171,45,33,2
3.6,100,79,22,10,11,0,1,36,41,0,3,2
5.6,90,361,64,26,24,7,7,146,132,41,43,3
2.8,94,361,129,50,48,16,15,146,132,41,43,3
17,91,362,21,8,8,3,2,147,132,41,43,3
2,86,90,46,18,17,1,10,31,37,2,21,1
2,84,90,46,18,16,1,11,31,36,2,22,1
3.4,100,26,8,1,0,3,4,4,0,10,13,2
2.4,100,96,40,15,17,4,4,37,41,9,10,2
2.7,98,106,40,16,17,3,4,42,44,9,12,1
3.6,70,72,21,9,9,2,1,29,31,6,7,2
2.7,89,105,40,16,17,3,4,42,44,10,10,2
3.7,100,36,10,5,5,0,0,19,18,0,0,1
3.9,98,348,89,27,32,11,19,103,123,46,77,6
5.6,98,515,92,35,34,8,15,195,190,44,87,6
3,88,224,75,29,30,5,11,85,86,18,36,6
8,72,350,43,11,15,6,11,100,127,45,79,6
3.2,94,581,184,70,68,16,30,219,217,51,95,6
1.9,86,255,132,41,47,15,29,71,93,33,59,6
2.7,100,26,10,0,8,1,1,0,23,2,2,1
2.7,100,26,10,0,8,1,1,0,23,2,2,4
2.5,100,27,11,1,10,0,0,2,26,0,0,4
1.9,94,37,20,2,18,0,0,3,34,0,1,4
16.1,98,160,10,4,6,0,0,60,100,0,1,4
2.1,100,36,18,5,4,3,6,10,8,6,13,2
10.1,100,100,10,8,0,0,2,81,0,0,20,2
36.5,97,289,8,1,4,1,2,37,144,37,70,14
36.5,97,289,8,1,4,1,2,37,144,37,70,14
4.8,94,113,24,0,15,6,3,0,74,29,11,14
4.8,94,113,24,0,15,6,3,0,74,29,11,14
2.6,91,35,14,10,0,0,4,25,0,0,11,14
2.6,91,35,14,10,0,0,4,25,0,0,11,14
2.6,91,35,14,10,0,0,4,25,0,0,11,14
2.6,91,35,14,10,0,0,4,25,0,0,11,14
8.8,93,33,4,0,3,1,0,0,26,8,0,14
8.8,93,33,4,0,3,1,0,0,26,8,0,14
12.4,98,97,8,0,5,2,1,0,62,25,11,14
12.4,98,97,8,0,5,2,1,0,62,25,11,14
8.8,93,35,4,0,3,1,0,0,28,8,0,14
8.8,93,35,4,0,3,1,0,0,28,8,0,14
3.1,96,119,39,15,17,4,3,44,51,15,10,1
16.1,99,273,17,5,7,3,2,86,113,43,32,3
21.9,99,807,37,13,16,3,5,287,348,64,109,3
5.4,100,674,126,43,45,15,23,230,243,78,124,3
2,82,66,34,12,12,7,3,22,27,11,7,1
5.1,98,75,15,5,1,2,7,24,5,11,36,2
2,85,37,19,8,8,2,1,15,16,4,3,2
2.1,100,24,12,5,5,0,2,11,10,0,4,1
2,93,30,16,5,9,0,2,10,18,0,3,1
2.3,100,27,12,5,5,0,2,12,12,0,4,1
2.3,100,27,12,5,5,0,2,12,12,0,4,1
2.1,100,24,12,5,5,0,2,11,10,0,4,1
2.1,100,24,12,5,5,0,2,11,10,0,4,2
1.9,100,28,15,5,8,0,2,9,16,0,4,2
1.9,93,29,16,5,10,0,1,10,19,0,1,1
20.2,100,483,24,9,9,2,4,181,181,41,81,1
5.1,75,866,165,63,59,12,31,346,323,58,140,8
2.6,87,866,334,137,123,19,55,346,323,58,140,8
2,100,293,147,43,35,19,50,86,70,38,100,8
2.6,85,657,254,105,92,17,40,260,246,45,107,8
6,91,501,82,32,29,5,16,195,188,34,85,8
22.2,98,487,22,8,9,1,4,158,216,32,82,8
4,85,353,88,36,34,5,13,148,133,19,54,8
2,95,41,22,9,8,3,2,17,16,5,4,8
2.5,98,218,89,37,31,5,16,91,76,12,40,5
2.6,75,277,109,53,39,7,10,125,108,16,29,5
2.2,94,32,15,7,6,0,2,14,15,0,4,5
1.8,86,452,248,115,82,10,41,196,158,23,76,5
3.8,79,336,87,39,35,3,10,151,127,14,45,5
16.5,89,180,11,4,4,1,2,64,67,22,28,2
4.4,100,91,21,9,7,4,1,39,32,17,4,2
30.4,98,333,11,4,5,1,1,112,152,31,39,2
4.8,96,99,21,8,8,4,1,40,38,17,5,2
2.5,80,41,17,8,6,1,2,19,16,2,5,1
2.5,100,197,79,26,28,8,17,68,74,17,39,2
1.8,97,192,105,25,26,22,32,50,41,41,61,2
5.5,100,445,81,25,25,8,23,140,143,41,122,1
2.5,100,197,79,26,28,8,17,68,74,17,39,2
1.9,99,207,109,26,27,22,34,52,47,42,67,2
6.8,100,230,34,15,16,0,3,101,110,0,20,1
3.5,100,278,79,29,28,7,15,105,103,21,50,1
2.5,100,202,81,25,25,8,23,65,68,17,53,1
2.9,100,59,21,9,3,2,7,26,8,6,20,5
3.8,87,42,11,9,0,0,2,33,1,0,9,5
3.8,98,317,85,27,30,13,15,106,107,48,57,5
10.8,79,40,4,3,0,0,1,31,1,0,9,5
13,100,585,45,11,13,7,14,143,169,91,183,5
4.2,97,184,44,20,11,3,10,84,44,14,43,1
2.5,82,42,17,6,3,2,6,13,7,6,17,1
2.3,90,33,15,6,1,0,8,10,2,0,22,1
2,100,106,53,24,8,10,11,48,17,20,22,1
2,94,388,198,62,60,33,43,118,119,68,84,1
2.8,90,46,17,8,8,0,1,21,24,0,2,7
13.5,76,115,8,3,5,0,0,37,71,5,3,7
22.8,77,219,10,4,6,0,0,82,123,4,11,7
9.8,98,642,66,25,15,6,20,245,142,55,201,7
2,98,642,330,125,72,30,103,245,142,55,201,7
7.5,98,2922,388,143,133,37,75,1078,995,271,579,7
29.9,74,276,9,3,6,0,0,99,159,7,12,7
4,99,1413,357,140,111,32,74,554,441,127,292,8
4,99,1413,357,140,111,32,74,554,441,127,292,8
5.4,100,354,66,24,14,6,22,128,76,30,121,8
5.4,100,354,66,24,14,6,22,128,76,30,121,8
2.1,82,42,20,10,5,2,3,19,12,6,6,8
2.1,82,42,20,10,5,2,3,19,12,6,6,8
6.1,99,403,66,24,14,6,22,150,85,36,133,8
6.1,99,403,66,24,14,6,22,150,85,36,133,8
1.9,100,36,19,7,10,1,1,14,19,2,2,1
1.9,88,34,19,11,6,1,1,20,12,2,1,2
1.9,94,36,19,7,9,1,2,14,18,2,3,2
1.9,94,36,19,7,9,1,2,14,18,2,3,1
8,99,151,19,8,9,1,1,64,71,8,9,1
1.9,94,36,19,7,9,1,2,14,18,2,3,1
1.9,88,36,19,7,8,1,3,14,17,2,4,1
2.7,93,48,18,7,8,1,2,18,24,3,4,1
1.9,88,36,19,7,8,1,3,14,17,2,4,1
1.9,88,36,19,7,9,1,2,13,18,3,3,1
2,94,37,19,7,9,1,2,14,19,2,3,2
2,100,65,33,12,7,5,9,24,14,10,18,2
1.9,94,36,19,7,9,1,2,14,18,2,3,1
2,86,43,22,11,4,0,7,21,8,0,15,2
1.9,94,36,19,7,9,1,2,14,18,2,3,2
2,94,37,19,8,8,1,2,16,17,2,3,1
1.9,94,36,19,7,9,1,2,14,18,2,3,1
1.9,100,36,19,7,10,1,1,14,19,2,2,1
1.9,100,36,19,7,10,1,1,14,19,2,2,1
5.5,95,317,58,17,11,7,23,99,54,32,133,2
5,99,271,54,15,17,8,14,77,84,40,70,2
2.7,92,195,71,15,21,26,9,31,69,77,19,21
2.7,92,195,71,15,21,26,9,31,69,77,19,21
2.7,92,195,71,15,21,26,9,31,69,77,19,21
3.6,96,35,10,2,4,3,1,6,14,12,4,21
3.6,96,35,10,2,4,3,1,6,14,12,4,21
3.6,96,35,10,2,4,3,1,6,14,12,4,21
2.8,98,165,60,7,21,26,6,18,57,75,16,21
2.8,98,165,60,7,21,26,6,18,57,75,16,21
2.8,98,165,60,7,21,26,6,18,57,75,16,21
10,98,540,54,13,18,8,15,132,176,80,153,21
10,98,540,54,13,18,8,15,132,176,80,153,21
10,98,540,54,13,18,8,15,132,176,80,153,21
3.6,96,35,10,2,4,3,1,6,14,12,4,21
3.6,96,35,10,2,4,3,1,6,14,12,4,21
3.6,96,35,10,2,4,3,1,6,14,12,4,21
2.1,89,87,42,6,12,19,5,9,28,43,8,21
2.1,89,87,42,6,12,19,5,9,28,43,8,21
2.1,89,87,42,6,12,19,5,9,28,43,8,21
3.2,63,115,36,5,12,16,3,19,41,46,10,21
3.2,63,115,36,5,12,16,3,19,41,46,10,21
3.2,63,115,36,5,12,16,3,19,41,46,10,21
9.5,93,561,59,14,21,7,17,129,203,70,158,1
5,89,369,74,29,28,6,11,142,140,29,58,1
6.8,97,107,16,3,4,4,5,22,27,26,33,1
36.8,95,220,6,2,1,1,2,72,41,37,71,4
5.1,63,220,43,15,18,4,6,81,94,18,28,4
1.9,88,33,18,7,8,2,1,13,14,4,3,4
4.7,90,401,86,33,35,7,11,152,163,32,55,4
33,100,32,1,1,0,0,0,33,0,0,0,3
10.1,88,475,47,17,19,2,9,172,190,21,93,3
7.6,85,68,9,8,1,0,0,58,7,2,2,3
2,84,51,27,10,1,1,15,18,3,3,28,1
15.8,100,125,8,4,1,1,2,64,16,15,31,1
2,88,46,23,11,6,3,3,22,14,6,5,2
2.4,81,53,23,10,7,3,3,24,16,6,8,2
2,88,32,17,8,7,0,2,15,13,0,5,1
2.2,78,56,26,11,9,3,3,21,22,7,7,2
2.2,81,55,25,8,7,6,4,17,17,14,8,2
14.8,100,251,17,7,7,1,2,104,104,15,29,1
43.5,81,82,2,1,1,0,0,39,44,0,0,3
6.3,99,314,50,12,20,4,14,79,124,24,88,3
1.9,97,192,99,35,32,8,24,68,64,17,44,3
13.5,89,107,8,3,5,0,0,45,63,0,0,4
4.5,92,107,24,10,14,0,0,45,63,0,0,4
5.2,100,269,52,13,22,4,13,69,113,20,68,4
7.6,92,90,12,5,7,0,0,37,54,0,0,4
2.6,79,43,18,7,8,2,1,16,19,6,3,1
2,100,77,39,7,14,11,7,14,28,22,14,2
2.3,90,33,15,4,8,0,3,8,18,0,8,2
1.9,100,75,40,9,13,11,7,16,24,22,14,2
2.1,88,32,17,7,5,0,5,15,9,0,9,2
2,85,50,25,11,8,3,3,23,18,5,5,2
2,97,76,39,8,13,11,7,15,26,22,14,2
2,86,43,22,10,11,0,1,18,25,0,1,3
2.1,90,35,17,7,10,0,0,15,21,0,0,3
2.4,81,50,21,10,10,0,1,23,26,0,2,3
2.6,100,158,62,17,23,9,13,44,58,22,35,1
3.6,92,71,20,9,2,1,8,28,9,7,28,4
5.7,100,56,10,4,1,1,4,23,6,5,23,4
2.8,83,85,30,12,4,3,11,34,12,8,32,4
1.9,100,133,72,24,13,13,22,43,25,26,40,4
28.9,100,201,7,5,0,0,2,145,0,0,57,3
2.6,98,218,84,27,30,7,20,72,79,17,51,3
2,85,189,97,36,26,16,19,66,56,36,32,3
5.8,100,197,34,12,15,3,4,70,87,18,23,2
1.9,85,38,21,3,8,1,9,4,15,2,18,2
1.9,94,139,73,16,38,3,16,32,72,5,31,4
2.1,89,156,73,17,37,3,16,33,85,5,34,4
94,76,93,1,0,1,0,0,11,83,0,0,4
11.5,100,91,8,1,7,0,0,11,81,0,0,4
103,78,102,1,0,1,0,0,11,92,0,0,2
11.7,93,100,9,1,8,0,0,11,90,0,0,2
10.4,100,103,10,7,2,0,1,72,21,0,11,1
21.6,100,280,13,8,2,0,3,174,42,0,65,1
2.2,82,46,21,5,7,0,9,10,15,0,22,4
2.2,82,46,21,5,7,0,9,10,15,0,22,4
3,100,29,10,5,2,0,3,15,6,0,9,4
3,100,29,10,5,2,0,3,15,6,0,9,4
14.5,100,28,2,1,1,0,0,15,14,0,0,1
2.1,85,37,19,9,2,2,6,17,6,3,12,1
1.9,84,38,20,9,5,3,3,17,10,8,4,2
18.4,100,257,14,6,3,1,4,111,55,18,74,2
1.9,84,38,20,9,5,3,3,17,10,8,4,2
20.5,100,163,8,3,2,1,2,62,41,20,41,2
5.4,98,211,39,20,5,1,13,106,28,5,73,2
13.9,74,217,16,8,3,0,5,109,30,5,74,2
2,97,91,47,14,19,4,10,28,39,6,19,1
15,93,101,7,5,0,0,2,73,0,0,29,1
2.1,93,30,15,2,3,0,10,4,6,1,20,3
2.6,94,29,12,0,3,0,9,0,5,0,25,3
2,85,40,20,4,7,0,9,9,15,1,16,3
5.9,100,324,55,22,21,4,8,129,124,24,48,2
31.3,97,375,12,6,6,0,0,195,181,0,0,2
11.7,98,163,14,4,1,3,6,48,7,33,76,1
14.1,97,196,14,4,1,2,7,57,15,34,91,2
3.3,96,38,12,4,2,0,6,15,6,0,18,2
3,79,66,23,9,4,1,9,28,13,3,23,5
2,88,46,22,9,4,1,8,18,8,2,19,5
3.1,78,71,24,10,4,1,9,30,14,3,25,5
8.3,100,1047,126,34,43,10,39,284,354,85,325,5
14.5,99,1132,78,33,18,7,20,478,263,102,290,5
2.3,92,47,21,8,10,2,1,22,21,4,1,3
20,100,39,2,1,1,0,0,20,20,0,0,3
2.1,100,26,13,4,0,9,0,8,0,19,0,3
13.5,100,26,2,1,1,0,0,13,14,0,0,1
2.4,85,42,18,7,8,0,3,17,18,1,7,1
2.7,100,147,55,18,26,3,8,49,70,7,22,2
8.2,64,146,17,6,9,0,2,49,69,7,22,2
2.2,100,25,12,8,4,0,0,18,8,0,0,1
2.5,81,43,17,9,6,0,2,20,14,3,7,1
11.4,99,1107,97,25,40,8,24,290,451,94,273,1
2,95,39,20,8,8,3,1,15,16,7,2,1
2.3,80,42,18,8,7,0,3,18,19,0,6,2
2,100,169,84,14,29,21,20,28,60,42,40,2
1.8,97,298,165,49,70,16,30,87,128,27,57,1
2.7,76,50,19,7,6,0,6,18,16,0,17,2
2.9,86,41,15,6,4,0,5,17,9,0,16,2
2.8,85,40,15,6,4,0,5,17,9,0,15,2
2.8,79,50,18,1,8,0,9,4,25,0,22,2
109.7,91,1218,11,4,4,2,1,497,446,173,103,2
12.5,99,475,38,16,13,2,7,201,163,25,87,2
2,88,34,18,8,7,0,3,15,13,0,7,1
2,93,29,15,6,2,0,7,12,5,0,13,1
2.3,90,34,15,6,2,0,7,12,5,0,18,1
2.2,94,32,15,6,4,0,5,12,9,0,12,1
2.2,94,32,15,5,4,0,6,11,9,1,12,1
2.2,94,32,15,6,4,0,5,12,9,0,12,1
15.5,98,123,8,5,1,0,2,77,15,1,31,2
4.7,97,47,10,4,2,2,2,20,10,9,9,2
17.6,100,140,8,5,1,0,2,89,17,0,35,2
4.8,92,48,10,4,2,2,2,19,10,10,10,2
12.5,100,24,2,1,1,0,0,12,13,0,0,1
13.5,100,26,2,1,1,0,0,13,14,0,0,1
2.1,82,51,24,8,4,2,10,14,9,4,25,1
1.9,88,36,19,9,7,1,2,16,14,3,4,1
14.5,100,28,2,1,1,0,0,14,15,0,0,2
1.9,88,34,18,8,7,0,3,13,16,0,6,2
37.1,98,667,18,5,8,2,3,186,289,75,112,3
63.9,63,578,11,4,4,1,2,161,256,64,97,3
2.1,94,31,15,5,5,1,4,10,12,2,8,3
17,100,33,2,1,1,0,0,17,17,0,0,1
4.9,100,33,7,6,1,0,0,30,4,0,0,2
3,97,324,110,33,30,13,34,98,86,40,101,2
2.5,94,30,13,0,1,3,9,0,2,6,23,1
3.8,71,57,16,9,7,0,0,34,23,0,1,4
20.1,85,151,7,5,2,0,0,106,46,0,0,4
18.6,88,143,8,5,3,0,0,100,44,0,0,4
6.2,89,141,23,16,7,0,0,99,43,0,0,4
12.6,95,2873,229,93,77,21,38,1136,981,285,472,2
6.3,95,2873,459,183,156,44,76,1136,981,285,472,2
1.9,92,113,59,17,20,13,9,31,41,25,17,1
1.9,96,113,59,17,21,13,8,31,41,26,16,1
1.9,96,113,59,17,21,13,8,31,40,26,17,1
1.9,94,113,59,17,21,13,8,30,41,26,17,2
2.1,88,33,16,11,4,1,0,22,10,2,0,2
3,82,48,16,7,6,2,1,22,18,5,4,1
3.1,86,50,17,7,7,2,1,22,22,4,3,1
2.1,83,44,21,7,5,2,7,14,12,5,14,1
2.3,94,31,14,5,1,1,7,12,3,1,16,1
1.9,82,46,25,12,5,2,6,19,11,5,12,2
2.7,88,38,14,5,3,1,5,15,8,1,15,2
2.3,94,31,14,5,1,1,7,12,3,1,16,2
2.3,94,31,14,5,1,1,7,12,3,1,16,2
3.5,75,60,17,6,7,2,2,22,28,6,5,1
7.1,99,412,58,19,11,10,18,136,75,67,135,1
4.4,66,115,26,10,11,2,3,44,48,10,14,5
1.9,84,38,20,9,5,3,3,17,9,8,5,5
16.5,93,32,2,1,1,0,0,17,15,1,0,5
5.1,91,400,79,30,31,7,11,153,149,36,63,5
13.2,99,236,18,5,3,3,7,65,39,39,94,5
9.8,99,963,98,45,29,3,21,440,286,30,208,4
2.3,79,56,25,16,3,1,5,37,7,3,10,4
1.9,94,34,18,9,7,0,2,17,14,0,4,4
10.9,98,1064,98,45,29,3,21,491,318,27,229,4
2.5,100,321,131,51,28,19,33,125,66,51,80,1
5.4,99,702,130,48,32,15,35,258,171,88,186,1
10.2,94,648,64,22,23,10,9,225,229,102,93,2
5.2,99,387,75,25,30,7,13,129,155,35,69,2
5.6,91,1271,227,82,79,22,44,452,463,117,240,7
1.8,98,311,170,62,60,15,33,113,112,28,59,7
12.4,98,925,74,26,27,7,14,326,332,86,182,7
3.3,62,157,50,17,17,4,12,57,56,13,32,7
7.3,98,479,66,24,23,10,9,175,167,73,65,7
4.2,97,316,75,27,28,7,13,115,121,29,52,7
3,100,32,11,5,3,3,0,15,9,9,0,7
2.1,100,131,63,22,13,11,17,44,28,22,38,6
8.5,95,634,75,26,29,7,13,220,249,57,109,6
4.3,89,984,229,81,91,19,38,345,390,87,163,6
1.8,99,307,171,62,66,14,29,110,122,26,50,6
4.2,97,319,76,27,32,6,11,113,131,28,48,6
8.5,98,544,65,27,21,8,9,228,171,70,76,6
2,80,439,225,93,80,16,36,163,170,33,74,6
1.8,95,311,171,62,62,14,33,113,119,26,54,6
4.9,89,1122,226,77,82,20,47,389,426,98,210,6
2.1,83,198,95,36,34,8,17,74,79,16,30,6
5.3,95,334,63,22,23,9,9,117,118,46,54,6
14.7,88,1122,75,25,28,7,15,389,426,98,210,6
12.1,98,928,77,24,33,7,13,295,388,88,158,2
3,89,194,64,19,22,14,9,60,65,45,25,2
11.9,87,919,75,25,31,7,12,309,379,86,146,5
6,88,919,150,50,62,14,24,309,379,86,146,5
1.9,96,184,97,34,39,9,15,64,77,17,27,5
13.4,99,850,64,18,24,14,8,242,312,187,110,5
2.7,98,850,319,90,119,70,40,242,312,187,110,5
1.8,96,351,193,57,43,35,58,105,81,65,101,1
2.3,94,31,14,5,1,1,7,12,3,1,16,1
2.3,94,31,14,5,1,1,7,12,3,1,16,1
2.5,76,45,19,4,4,2,9,11,8,4,23,1
3.3,80,106,32,12,14,4,2,40,43,13,11,1
4,99,331,82,30,27,7,18,120,111,29,72,1
2,97,159,81,31,24,6,20,61,50,11,38,1
4,99,331,82,31,27,6,18,125,111,24,72,1
20.9,100,250,12,3,2,2,5,63,41,42,105,2
2,93,30,16,6,2,0,8,11,4,0,16,2
2.1,100,193,93,25,32,11,25,52,65,23,54,3
1.9,84,37,20,8,5,4,3,16,10,8,4,3
11.4,95,136,12,3,4,3,2,32,41,37,27,3
32.2,93,192,6,2,1,1,2,64,33,32,64,1
7.5,100,74,10,2,1,2,5,15,7,15,38,1
4.4,80,74,17,9,8,0,0,39,35,0,1,8
4.4,80,74,17,9,8,0,0,39,35,0,1,8
12.5,100,24,2,1,1,0,0,12,13,0,0,8
12.5,100,24,2,1,1,0,0,12,13,0,0,8
2,88,34,18,8,2,1,7,15,4,2,14,8
2,88,34,18,8,2,1,7,15,4,2,14,8
21.5,95,43,2,1,1,0,0,22,21,1,0,8
21.5,95,43,2,1,1,0,0,22,21,1,0,8
22,78,92,4,1,3,0,0,27,61,5,0,2
9.2,86,155,17,5,11,1,0,46,95,10,5,2
6.5,99,214,33,12,14,4,3,78,92,26,19,1
5.6,73,103,19,8,7,2,2,40,41,11,12,3
2.7,98,84,32,18,13,0,1,45,38,0,2,3
48,77,91,2,1,1,0,0,48,42,0,2,3
28.5,100,113,4,3,0,0,1,85,0,0,29,1
3.1,89,240,78,32,27,7,12,99,83,24,35,1
11,96,2131,191,67,62,30,32,746,688,335,363,5
2.9,100,25,9,3,5,0,1,8,15,0,3,5
19.1,98,1824,96,34,31,15,16,639,584,292,310,5
20.4,99,774,38,11,17,3,7,218,344,62,151,5
4.4,96,2131,478,168,154,75,81,746,688,335,363,5
1.9,88,34,18,2,5,1,10,4,11,2,18,1
1.8,97,374,206,72,70,24,40,128,127,47,73,4
3.3,98,341,103,26,27,14,36,82,88,47,125,4
15.5,93,30,2,1,1,0,0,14,17,0,0,4
2.1,92,46,22,9,6,5,2,18,15,9,5,4
2.1,85,37,19,10,2,2,5,20,4,3,11,4
3.1,91,705,223,71,78,28,46,223,248,93,142,4
1.9,84,50,28,16,10,1,1,29,20,1,1,4
2,93,341,170,38,44,23,65,77,93,46,126,4
14,100,27,2,1,1,0,0,14,14,0,0,3
8.5,97,521,61,14,23,10,14,121,199,81,121,3
4.3,97,521,122,29,45,20,28,121,199,81,121,3
2.1,100,493,230,76,76,31,47,162,162,68,102,2
2.1,89,36,18,2,5,1,10,4,12,2,19,2
2.1,81,69,33,14,9,5,5,26,23,10,11,2
1.9,85,41,22,11,7,1,3,21,15,2,4,2
13.5,100,147,11,4,5,1,1,54,68,13,13,5
7.3,94,167,23,7,13,0,3,50,97,0,21,5
23.2,99,1114,48,22,9,5,12,512,209,115,279,5
2,100,53,27,6,9,2,10,12,18,4,20,5
3.5,100,37,11,5,5,0,1,16,19,0,3,5
13.7,99,150,11,5,5,0,1,63,69,6,13,5
11.2,99,538,48,22,9,5,12,247,100,56,136,5
2.1,88,32,16,9,1,2,4,18,2,4,9,5
8.1,95,188,23,7,14,0,2,57,114,0,18,5
2.5,100,26,11,5,5,0,1,11,14,0,2,5
6.3,98,144,23,7,14,0,2,44,86,0,15,4
3.2,100,34,11,5,5,0,1,17,15,0,3,4
17.5,99,191,11,4,5,1,1,70,81,17,24,4
21.2,100,1018,48,22,9,5,12,467,191,106,255,4
2.2,83,52,23,9,8,3,3,21,18,6,8,4
3.8,78,88,23,8,8,3,4,36,30,11,12,4
2.3,90,54,24,10,7,3,4,23,18,6,8,4
54.9,97,658,12,4,4,3,1,220,205,163,71,4
3.7,83,234,64,32,23,3,6,108,85,18,24,4
5.6,95,447,80,29,27,4,20,163,151,24,110,4
1.9,82,234,124,61,42,5,16,108,85,18,24,4
20.2,100,120,6,2,1,1,2,40,20,20,41,4
7.8,100,46,6,2,1,1,2,15,8,8,16,1
2,86,40,22,10,1,0,11,19,2,0,20,3
10.7,100,63,6,2,1,1,2,21,10,11,22,3
1.9,83,122,65,32,22,2,9,55,46,7,15,3
10.8,100,64,6,2,1,1,2,21,11,11,22,3
2.5,88,203,80,31,27,3,19,74,70,13,47,3
2.5,72,51,21,9,6,1,5,19,15,3,15,3
2.2,100,25,12,3,2,1,6,6,5,2,13,1
22.5,99,179,8,2,3,2,1,37,68,53,22,1
3.3,96,72,22,7,12,1,2,25,41,3,4,7
3.3,96,72,22,7,12,1,2,25,41,3,4,7
2.4,90,51,22,7,13,1,1,18,30,2,2,7
4.6,99,1332,287,117,111,12,47,547,516,58,212,7
3.3,96,72,22,7,12,1,2,25,41,3,4,7
1.9,88,33,18,9,4,1,4,17,8,2,7,7
3.3,96,72,22,7,12,1,2,25,41,3,4,7
2.4,80,42,18,5,3,1,9,13,8,2,20,1
33.8,95,135,4,3,0,0,1,101,0,0,35,1
36.3,91,273,8,3,2,1,2,101,60,36,77,2
1.9,84,38,20,9,5,3,3,17,10,8,4,2
3.7,87,161,44,17,27,0,0,66,94,1,1,11
2,94,64,33,14,17,1,1,28,35,1,1,11
2.7,84,51,19,9,7,0,3,24,20,2,6,11
5.2,80,45,9,5,3,0,1,23,18,1,4,11
2.4,90,65,27,14,11,0,2,32,26,1,7,11
10.9,100,75,7,4,0,0,3,43,0,0,33,11
2.1,85,38,19,10,7,0,2,19,16,1,3,11
4,88,169,43,16,26,1,0,67,101,1,1,11
5.1,96,339,66,33,18,5,10,173,90,25,52,11
2.7,84,70,26,14,10,0,2,32,29,3,7,11
4.8,78,55,12,8,1,1,2,38,5,3,10,11
33.1,99,310,10,4,4,2,0,122,123,66,0,3
